iter	Passed	Remaining
0	24	24320
1	43	21458
2	61	20354
3	79	19897
4	98	19607
5	117	19508
6	137	19498
7	157	19546
8	180	19821
9	198	19673
10	216	19503
11	236	19451
12	255	19374
13	273	19284
14	292	19190
15	313	19251
16	332	19241
17	352	19243
18	370	19118
19	390	19112
20	408	19022
21	426	18960
22	444	18897
23	465	18918
24	487	19003
25	511	19158
26	534	19252
27	556	19325
28	577	19352
29	599	19393
30	620	19390
31	642	19434
32	661	19392
33	685	19489
34	707	19493
35	725	19431
36	745	19409
37	765	19369
38	785	19353
39	802	19271
40	823	19258
41	843	19250
42	863	19212
43	880	19140
44	899	19087
45	917	19020
46	938	19021
47	959	19025
48	978	18998
49	998	18973
50	1017	18929
51	1034	18856
52	1053	18821
53	1074	18821
54	1093	18782
55	1110	18711
56	1128	18674
57	1147	18642
58	1166	18599
59	1184	18554
60	1203	18532
61	1221	18484
62	1240	18444
63	1259	18418
64	1278	18389
65	1296	18352
66	1314	18303
67	1333	18278
68	1352	18246
69	1371	18218
70	1388	18166
71	1408	18150
72	1428	18134
73	1446	18101
74	1465	18076
75	1484	18048
76	1506	18058
77	1525	18029
78	1542	17988
79	1563	17978
80	1581	17937
81	1599	17911
82	1619	17892
83	1637	17860
84	1656	17831
85	1674	17801
86	1693	17775
87	1714	17772
88	1734	17749
89	1753	17733
90	1773	17719
91	1791	17683
92	1810	17658
93	1831	17649
94	1852	17650
95	1873	17639
96	1892	17614
97	1912	17602
98	1932	17590
99	1952	17571
100	1970	17541
101	1990	17528
102	2010	17510
103	2027	17465
104	2047	17449
105	2065	17424
106	2084	17392
107	2101	17358
108	2120	17333
109	2139	17307
110	2159	17299
111	2180	17289
112	2199	17266
113	2221	17266
114	2240	17239
115	2260	17224
116	2280	17209
117	2299	17187
118	2317	17155
119	2333	17113
120	2353	17096
121	2375	17097
122	2394	17075
123	2412	17046
124	2431	17018
125	2452	17009
126	2471	16985
127	2489	16959
128	2508	16934
129	2527	16913
130	2544	16880
131	2564	16865
132	2582	16833
133	2600	16804
134	2617	16774
135	2635	16746
136	2653	16713
137	2674	16704
138	2694	16687
139	2713	16668
140	2730	16634
141	2750	16616
142	2771	16607
143	2792	16598
144	2811	16578
145	2829	16552
146	2848	16527
147	2868	16514
148	2885	16478
149	2904	16458
150	2922	16430
151	2941	16413
152	2960	16388
153	2980	16376
154	3002	16368
